FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2006,1499.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2007,1517.0
HARVEY MUDD COLLEGE,2007,1495.0
POMONA COLLEGE,2007,1440.0
YALE UNIVERSITY,2007,1471.0
UNIVERSITY OF CHICAGO,2007,1403.0
NORTHWESTERN UNIVERSITY,2007,1399.0
AMHERST COLLEGE,2007,1424.0
HARVARD UNIVERSITY,2007,1491.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2007,1464.0
WILLIAMS COLLEGE,2007,1413.0
WASHINGTON UNIVERSITY IN ST LOUIS,2007,1429.0
DARTMOUTH COLLEGE,2007,1441.0
PRINCETON UNIVERSITY,2007,1477.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2007,1423.0
DUKE UNIVERSITY,2007,1427.0
UNIVERSITY OF PENNSYLVANIA,2007,1414.0
SWARTHMORE COLLEGE,2007,1428.0
RICE UNIVERSITY,2007,1409.0
STANFORD UNIVERSITY,2007,1430.0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2007,1511.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2008,1514.0
HARVEY MUDD COLLEGE,2008,1495.0
POMONA COLLEGE,2008,1460.0
YALE UNIVERSITY,2008,1481.0
UNIVERSITY OF CHICAGO,2008,1397.0
NORTHWESTERN UNIVERSITY,2008,1431.0
AMHERST COLLEGE,2008,1409.0
HARVARD UNIVERSITY,2008,1482.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2008,1464.0
WILLIAMS COLLEGE,2008,1412.0
WASHINGTON UNIVERSITY IN ST LOUIS,2008,1453.0
DARTMOUTH COLLEGE,2008,1435.0
PRINCETON UNIVERSITY,2008,1478.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2008,1422.0
DUKE UNIVERSITY,2008,1430.0
UNIVERSITY OF PENNSYLVANIA,2008,1418.0
SWARTHMORE COLLEGE,2008,1418.0
RICE UNIVERSITY,2008,1425.0
STANFORD UNIVERSITY,2008,1432.0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2008,1509.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2009,1514.0
HARVEY MUDD COLLEGE,2009,1490.0
POMONA COLLEGE,2009,1464.0
YALE UNIVERSITY,2009,1475.0
UNIVERSITY OF CHICAGO,2009,1425.0
NORTHWESTERN UNIVERSITY,2009,1427.0
AMHERST COLLEGE,2009,1425.0
HARVARD UNIVERSITY,2009,1468.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2009,1472.0
WILLIAMS COLLEGE,2009,1424.0
WASHINGTON UNIVERSITY IN ST LOUIS,2009,1462.0
DARTMOUTH COLLEGE,2009,1432.0
PRINCETON UNIVERSITY,2009,1482.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2009,1445.0
DUKE UNIVERSITY,2009,1440.0
UNIVERSITY OF PENNSYLVANIA,2009,1436.0
SWARTHMORE COLLEGE,2009,1426.0
RICE UNIVERSITY,2009,1425.0
STANFORD UNIVERSITY,2009,1436.0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2009,1483.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2010,1528.0
HARVEY MUDD COLLEGE,2010,1493.0
POMONA COLLEGE,2010,1461.0
YALE UNIVERSITY,2010,1473.0
UNIVERSITY OF CHICAGO,2010,1458.0
NORTHWESTERN UNIVERSITY,2010,1434.0
AMHERST COLLEGE,2010,1435.0
HARVARD UNIVERSITY,2010,1478.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2010,1486.0
WILLIAMS COLLEGE,2010,1421.0
WASHINGTON UNIVERSITY IN ST LOUIS,2010,1465.0
DARTMOUTH COLLEGE,2010,1444.0
PRINCETON UNIVERSITY,2010,1485.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2010,1457.0
DUKE UNIVERSITY,2010,1432.0
UNIVERSITY OF PENNSYLVANIA,2010,1435.0
SWARTHMORE COLLEGE,2010,1419.0
RICE UNIVERSITY,2010,1435.0
STANFORD UNIVERSITY,2010,1452.0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2010,1473.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2011,1520.0
HARVEY MUDD COLLEGE,2011,1497.0
POMONA COLLEGE,2011,1455.0
YALE UNIVERSITY,2011,1497.0
UNIVERSITY OF CHICAGO,2011,1468.0
NORTHWESTERN UNIVERSITY,2011,1438.0
AMHERST COLLEGE,2011,1425.0
HARVARD UNIVERSITY,2011,1485.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2011,1490.0
WILLIAMS COLLEGE,2011,1416.0
WASHINGTON UNIVERSITY IN ST LOUIS,2011,1467.0
DARTMOUTH COLLEGE,2011,1454.0
PRINCETON UNIVERSITY,2011,1487.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2011,1471.0
DUKE UNIVERSITY,2011,1435.0
UNIVERSITY OF PENNSYLVANIA,2011,1435.0
SWARTHMORE COLLEGE,2011,1435.0
RICE UNIVERSITY,2011,1428.0
STANFORD UNIVERSITY,2011,1446.0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2011,1473.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2012,1520.0
HARVEY MUDD COLLEGE,2012,1500.0
POMONA COLLEGE,2012,1432.0
YALE UNIVERSITY,2012,1488.0
UNIVERSITY OF CHICAGO,2012,1469.0
NORTHWESTERN UNIVERSITY,2012,1452.0
AMHERST COLLEGE,2012,1425.0
HARVARD UNIVERSITY,2012,1497.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2012,1490.0
WILLIAMS COLLEGE,2012,1421.0
WASHINGTON UNIVERSITY IN ST LOUIS,2012,1478.0
DARTMOUTH COLLEGE,2012,1446.0
PRINCETON UNIVERSITY,2012,1492.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2012,1486.0
DUKE UNIVERSITY,2012,1435.0
