2013,GA,201
2013,TN,191
2013,NC,210
2013,TX,482
2013,NJ,168
2013,AZ,138
2013,NY,464
2013,OH,365
2013,OK,149
2013,VA,188
2013,IL,312
2013,IN,162
2013,CA,805
2013,PA,414
2013,PR,152
