University,75earn,Ownership,Control
West Virginia University Institute of Technology,65700,1,Public
West Virginia University,65700,1,Public
CUNY College of Staten Island,65600,1,Public
California State University-Fullerton,65500,1,Public
CUNY City College,65400,1,Public
California State University-Sacramento,65200,1,Public
Florida International University,65200,1,Public
University of Houston-Clear Lake,65200,1,Public
The University of Texas at Arlington,65200,1,Public
The University of Tennessee,65100,1,Public
CUNY Hunter College,65000,1,Public
Utah State University,65000,1,Public
University of Massachusetts-Boston,64900,1,Public
CUNY John Jay College of Criminal Justice,64800,1,Public
University of Massachusetts-Dartmouth,64600,1,Public
University of Wyoming,64500,1,Public
University of California-Santa Cruz,64400,1,Public
State University of New York at New Paltz,64300,1,Public
SUNY College at Old Westbury,64300,1,Public
Portland State University,64200,1,Public
Texas Woman's University,64200,1,Public
Sonoma State University,64100,1,Public
California State University-Northridge,63700,1,Public
California State University-San Marcos,63700,1,Public
California State University-Bakersfield,63600,1,Public
Weber State University,63300,1,Public
University of Wisconsin-Platteville,63300,1,Public
Florida State University,63200,1,Public
University of Kansas,63100,1,Public
University of Vermont,63100,1,Public
University of Arkansas,63000,1,Public
University of Nevada-Las Vegas,63000,1,Public
Charter Oak State College,62900,1,Public
University of Alaska Anchorage,62700,1,Public
Northern Illinois University,62700,1,Public
California State University-San Bernardino,62600,1,Public
Salisbury University,62600,1,Public
Rowan University,62600,1,Public
The Richard Stockton College of New Jersey,62600,1,Public
Kansas State University,62400,1,Public
Old Dominion University,62300,1,Public
University of Colorado-Colorado Springs,62200,1,Public
University of Central Florida,62200,1,Public
Ohio State University-Lima Campus,62200,1,Public
Ohio State University-Newark Campus,62200,1,Public
Ohio State University-Main Campus,62200,1,Public
University of Mississippi,62100,1,Public
University of Mississippi Medical Center,62100,1,Public
The University of Texas at Tyler,62100,1,Public
Kean University,62000,1,Public
University of South Carolina-Columbia,62000,1,Public
California State University-Los Angeles,61900,1,Public
University of Hawaii at Manoa,61900,1,Public
Wayne State University,61900,1,Public
Metropolitan State University,61900,1,Public
California State University-Dominguez Hills,61700,1,Public
University of Nebraska-Lincoln,61700,1,Public
Illinois State University,61400,1,Public
University of Minnesota-Duluth,61400,1,Public
Central Washington University,61300,1,Public
University of Kentucky,61200,1,Public
West Chester University of Pennsylvania,61200,1,Public
California State University-Fresno,61100,1,Public
Shippensburg University of Pennsylvania,61100,1,Public
Virginia Commonwealth University,61100,1,Public
William Paterson University of New Jersey,61000,1,Public
Southern Illinois University Carbondale,60900,1,Public
SUNY at Geneseo,60900,1,Public
The University of Alabama,60700,1,Public
University of North Carolina at Charlotte,60500,1,Public
Western Michigan University,60300,1,Public
Oakland University,60200,1,Public
Louisiana Tech University,60000,1,Public
Texas State University-San Marcos,60000,1,Public
Mississippi State University,59900,1,Public
Central Connecticut State University,59800,1,Public
University of Idaho,59700,1,Public
SUNY Empire State College,59500,1,Public
University of Wisconsin-Eau Claire,59500,1,Public
University of Oregon,59400,1,Public
Western Washington University,59400,1,Public
University of Wisconsin-La Crosse,59400,1,Public
Western Connecticut State University,59300,1,Public
SUNY College of Environmental Science and Forestry,59300,1,Public
SUNY College at Cortland,59300,1,Public
Lamar University,59300,1,Public
Truman State University,59100,1,Public
University of North Florida,59000,1,Public
Georgia State University,59000,1,Public
Purdue University-Calumet Campus,58900,1,Public
Framingham State University,58900,1,Public
University of Nebraska at Omaha,58900,1,Public
North Georgia College & State University,58800,1,Public
Minnesota State University-Mankato,58800,1,Public
CUNY Lehman College,58800,1,Public
Worcester State University,58700,1,Public
Montana State University,58700,1,Public
Southern Connecticut State University,58600,1,Public
Governors State University,58600,1,Public
Fitchburg State University,58600,1,Public
University of Toledo,58600,1,Public
The University of Texas at San Antonio,58600,1,Public
Radford University,58600,1,Public
New Jersey City University,58400,1,Public
University of Wisconsin-Stout,58400,1,Public
University of South Florida-Main Campus,58300,1,Public
Kennesaw State University,58300,1,Public
University of South Florida-St. Petersburg Campus,58300,1,Public
University of South Florida Sarasota-Manatee,58300,1,Public
University of South Florida-Polytechnic,58300,1,Public
California State University-Stanislaus,58200,1,Public
Florida Atlantic University,58200,1,Public
Ferris State University,58200,1,Public
University of Cincinnati-Main Campus,58200,1,Public
University of Michigan-Flint,58000,1,Public
University of Alabama at Birmingham,57900,1,Public
University of Alaska Fairbanks,57900,1,Public
Western Illinois University,57900,1,Public
University of North Texas,57800,1,Public
Winona State University,57700,1,Public
South Dakota State University,57700,1,Public
Texas A & M University-Corpus Christi,57700,1,Public
University of Wisconsin-Milwaukee,57700,1,Public
California State University-Monterey Bay,57700,1,Public
Frostburg State University,57600,1,Public
Cleveland State University,57600,1,Public
Southwestern Oklahoma State University,57600,1,Public
Southern Illinois University Edwardsville,57500,1,Public
Idaho State University,57400,1,Public
University of Houston-Downtown,57300,1,Public
Eastern Connecticut State University,57200,1,Public
Morgan State University,57200,1,Public
Gordon College,57200,1,Public
